gruppe,billede,bredde,baand,spaend,max_spring,afvigelse,dom
oeve,273102_001070,1836,24/24,495,483,412,galt
proeve_LAAST,273108_001604,1858,24/24,520,520,396,galt
ekstra_uden_facit,273069_000072,1697,24/24,599,467,314,galt
ekstra_uden_facit,273086_000042,1719,24/24,330,204,268,galt
ekstra_uden_facit,273067_000906,1747,24/24,511,397,250,galt
ekstra_uden_facit,273085_001208,1708,22/24,307,299,245,galt
oeve,273109_000083,1806,24/24,290,259,192,galt
oeve,273108_001539,1721,24/24,265,264,179,galt
proeve_LAAST,273108_001603,1657,23/24,211,211,107,galt
ekstra_uden_facit,273099_000152,1834,24/24,114,96,72,tvivlsom
ekstra_uden_facit,273046_000350,1892,24/24,85,57,59,tvivlsom
oeve,273109_000082,1741,24/24,73,71,56,tvivlsom
oeve,37554_001497,1803,24/24,61,60,50,tvivlsom
oeve,273109_000081,1806,24/24,83,54,47,tvivlsom
ekstra_uden_facit,273025_000112,1854,24/24,59,27,47,tvivlsom
ekstra_uden_facit,273068_000711,1847,24/24,84,59,46,tvivlsom
ekstra_uden_facit,273069_000948,1722,24/24,77,70,44,tvivlsom
ekstra_uden_facit,273085_000070,1510,24/24,80,75,43,tvivlsom
ekstra_uden_facit,273059_000110,1944,24/24,60,45,39,tvivlsom
oeve,37554_001498,1896,24/24,71,63,37,tvivlsom
ekstra_uden_facit,273067_001910,1640,24/24,52,52,29,tvivlsom
proeve_LAAST,273107_001885,1522,24/24,28,20,24,tvivlsom
oeve,273100_001297,1687,24/24,51,24,18,tvivlsom
ekstra_uden_facit,273058_000692,2183,24/24,70,25,17,tvivlsom
oeve,273105_001710,1808,24/24,42,27,15,tvivlsom
ekstra_uden_facit,273070_000212,1779,24/24,28,16,14,tvivlsom
oeve,273105_001709,1604,24/24,25,19,12,tvivlsom
oeve,273100_001296,1601,24/24,25,20,11,tvivlsom
oeve,273100_001310,1562,24/24,49,17,11,tvivlsom
ekstra_uden_facit,273025_000904,2123,24/24,41,18,11,tvivlsom
ekstra_uden_facit,273048_000910,1943,24/24,34,6,11,tvivlsom
oeve,273100_001311,1745,24/24,61,18,10,tvivlsom
ekstra_uden_facit,273059_001054,2006,24/24,27,4,10,tvivlsom
ekstra_uden_facit,273107_000971,1631,24/24,36,6,10,tvivlsom
proeve_LAAST,273108_001601,1654,24/24,16,12,10,tvivlsom
proeve_LAAST,273108_001608,1898,23/24,38,7,10,tvivlsom
proeve_LAAST,273111_001367,1957,24/24,21,5,10,tvivlsom
oeve,273098_001506,1629,24/24,39,5,9,god
proeve_LAAST,273102_001074,1837,24/24,20,6,9,god
oeve,273100_001260,1443,24/24,33,4,8,god
oeve,273103_001436,1515,24/24,61,7,8,god
oeve,273103_001471,1703,24/24,31,5,8,god
oeve,273105_001646,1711,24/24,54,4,8,god
ekstra_uden_facit,273013_000954,1972,24/24,12,5,8,god
ekstra_uden_facit,273047_000580,2166,24/24,21,3,8,god
ekstra_uden_facit,273048_000102,1834,24/24,20,6,8,god
ekstra_uden_facit,273057_000498,2112,24/24,57,9,8,god
