billede,gruppe,flyt_median,flyt_max,baand_paa_loftet,loft_px,sikker_ny
273098_001496,oeve,24,34,0,97,ja
273098_001497,oeve,22,33,0,94,ja
273098_001498,oeve,17,36,0,97,ja
273098_001499,oeve,16,38,0,94,ja
273098_001500,oeve,19,29,0,97,ja
273098_001501,oeve,19,32,0,95,ja
273098_001502,oeve,11,17,0,97,ja
273098_001503,oeve,11,20,0,95,ja
273098_001504,oeve,17,18,0,97,ja
273098_001505,oeve,16,24,0,95,ja
273098_001506,oeve,18,39,0,97,ja
273098_001508,oeve,15,30,0,97,ja
273098_001509,oeve,15,33,0,95,ja
273098_001510,oeve,17,31,0,97,ja
273098_001511,oeve,17,30,0,96,ja
273098_001512,oeve,30,34,0,98,ja
273098_001513,oeve,30,39,0,96,ja
273098_001514,oeve,13,31,0,97,ja
273099_001444,oeve,45,63,0,90,ja
273099_001445,oeve,46,66,0,106,ja
273099_001446,oeve,33,53,0,90,ja
273100_001258,oeve,38,45,0,85,ja
273100_001259,oeve,39,48,0,108,ja
273100_001260,oeve,32,52,0,86,ja
273100_001261,oeve,37,48,0,108,ja
273100_001262,oeve,38,44,0,86,ja
273100_001263,oeve,38,44,0,108,ja
273100_001264,oeve,24,32,0,86,ja
273100_001265,oeve,27,34,0,109,ja
273100_001266,oeve,32,45,0,86,ja
273100_001267,oeve,38,44,0,109,ja
273100_001268,oeve,3,17,0,97,ja
273100_001269,oeve,8,18,0,99,ja
273100_001270,oeve,23,28,0,94,ja
273100_001271,oeve,23,28,0,102,ja
273100_001272,oeve,16,39,0,94,ja
273100_001273,oeve,14,39,0,102,ja
273100_001274,oeve,20,22,0,94,ja
273100_001275,oeve,18,22,0,102,ja
273100_001276,oeve,20,27,0,93,ja
273100_001294,oeve,32,40,0,96,ja
273100_001295,oeve,32,41,0,101,ja
273100_001296,oeve,18,43,0,96,ja
273100_001297,oeve,23,45,0,101,ja
273100_001298,oeve,30,37,0,95,ja
273100_001299,oeve,24,36,0,100,ja
273100_001300,oeve,7,13,0,95,ja
273100_001302,oeve,28,35,0,95,ja
273100_001303,oeve,28,33,0,100,ja
273100_001304,oeve,0,7,0,95,ja
273100_001305,oeve,0,11,0,101,ja
273100_001306,oeve,24,29,0,94,ja
273100_001307,oeve,25,32,0,100,ja
273100_001308,oeve,21,31,0,94,ja
273100_001309,oeve,21,34,0,101,ja
273100_001310,oeve,13,29,0,93,ja
273100_001311,oeve,12,25,0,104,ja
273101_001163,oeve,19,29,0,87,ja
273101_001164,oeve,19,24,0,104,ja
273101_001165,oeve,16,26,0,99,ja
273101_001166,oeve,16,29,0,101,ja
273101_001167,oeve,34,37,0,99,ja
273101_001168,oeve,33,42,0,100,ja
273101_001169,oeve,12,71,0,99,ja
273102_001064,oeve,71,90,0,110,ja
273102_001065,oeve,68,88,0,113,ja
273102_001066,oeve,62,98,0,110,ja
273102_001067,oeve,63,86,0,113,ja
273102_001068,oeve,65,83,0,110,ja
273102_001069,oeve,65,82,0,113,ja
273102_001070,oeve,67,86,0,110,ja
273103_001436,oeve,45,55,0,90,ja
273103_001437,oeve,44,64,0,107,ja
273103_001438,oeve,25,32,0,90,ja
273103_001439,oeve,25,35,0,107,ja
273103_001440,oeve,32,40,0,90,ja
273103_001441,oeve,31,46,0,107,ja
273103_001442,oeve,26,39,0,90,ja
273103_001460,oeve,30,43,0,88,ja
273103_001461,oeve,28,46,0,103,ja
273103_001462,oeve,34,43,0,88,ja
273103_001463,oeve,33,46,0,102,ja
273103_001464,oeve,35,52,0,88,ja
273103_001465,oeve,34,55,0,103,ja
273103_001466,oeve,15,29,0,88,ja
273103_001467,oeve,17,29,0,103,ja
273103_001468,oeve,45,52,0,88,ja
273103_001469,oeve,45,55,0,104,ja
273103_001470,oeve,15,21,0,95,ja
273103_001471,oeve,14,20,0,102,ja
273104_001633,oeve,34,42,0,97,ja
273104_001634,oeve,32,47,0,108,ja
273104_001635,oeve,12,19,0,97,ja
273105_001552,oeve,29,42,0,102,ja
273105_001553,oeve,32,49,0,104,ja
273105_001554,oeve,19,24,0,102,ja
273105_001568,oeve,19,23,0,102,ja
273105_001569,oeve,19,23,0,104,ja
273105_001570,oeve,20,30,0,102,ja
273105_001571,oeve,22,32,0,104,ja
273105_001572,oeve,20,25,0,101,ja
273105_001573,oeve,21,27,0,104,ja
273105_001574,oeve,20,29,0,101,ja
273105_001644,oeve,38,54,0,102,ja
273105_001645,oeve,43,59,0,104,ja
273105_001646,oeve,20,34,0,102,ja
273105_001707,oeve,38,44,0,96,ja
273105_001708,oeve,39,43,0,109,ja
273105_001709,oeve,28,41,0,96,ja
273105_001710,oeve,29,62,0,108,ja
273105_001711,oeve,27,36,0,95,ja
273105_001712,oeve,27,36,0,108,ja
273105_001713,oeve,26,55,0,95,ja
273105_001714,oeve,25,53,0,107,ja
273105_001715,oeve,34,38,0,95,ja
273105_001716,oeve,34,44,0,108,ja
273105_001717,oeve,12,18,0,104,ja
273106_001693,oeve,9,19,0,105,ja
273106_001694,oeve,10,20,0,118,ja
273106_001695,oeve,6,9,0,105,ja
273107_001863,oeve,21,31,0,92,ja
273107_001864,oeve,20,30,0,118,ja
273107_001865,oeve,13,28,0,92,ja
273107_001866,oeve,14,28,0,119,ja
273107_001867,oeve,13,32,0,91,ja
273107_001868,oeve,16,34,0,119,ja
273107_001869,oeve,14,22,0,91,ja
273108_001537,oeve,22,26,0,103,ja
273108_001538,oeve,22,26,0,110,ja
273108_001539,oeve,6,16,0,103,ja
273108_001553,oeve,17,20,0,102,ja
273108_001554,oeve,17,21,0,110,ja
273108_001555,oeve,0,13,0,102,ja
273108_001556,oeve,0,14,0,110,ja
273108_001557,oeve,17,25,0,102,ja
273108_001558,oeve,15,24,0,110,ja
273108_001559,oeve,2,17,0,102,ja
273109_000081,oeve,28,82,0,108,ja
273109_000082,oeve,28,85,0,104,ja
273109_000083,oeve,31,108,1,108,ja
273110_001525,oeve,28,32,0,98,ja
273110_001526,oeve,29,32,0,113,ja
273110_001527,oeve,10,23,0,98,ja
273110_001528,oeve,12,23,0,112,ja
273110_001529,oeve,25,28,0,98,ja
273110_001530,oeve,25,29,0,113,ja
273110_001531,oeve,27,46,0,98,ja
273110_001532,oeve,28,45,0,114,ja
273110_001533,oeve,15,21,0,91,ja
273110_001534,oeve,12,25,0,120,ja
273111_001370,oeve,29,34,0,97,ja
273111_001371,oeve,28,33,0,117,ja
273111_001372,oeve,8,23,0,97,ja
273111_001374,oeve,21,29,0,97,ja
273111_001375,oeve,22,28,0,117,ja
273111_001376,oeve,8,19,0,97,ja
273111_001377,oeve,9,22,0,117,ja
273111_001378,oeve,13,27,0,97,ja
273111_001379,oeve,14,24,0,117,ja
273111_001380,oeve,0,17,0,112,nej
