billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273012_000882,verso,1952,1390,1206,0.3822,21,ja,19,24/24,ja
273013_000954,verso,1972,1383,1239,0.3717,12,ja,15,24/24,ja
273014_000780,verso,1638,1375,1183,0.2778,9,ja,7,24/24,ja
273015_000616,verso,1826,1493,1241,0.3204,31,ja,60,19/24,ja
273016_000364,verso,1790,1486,1193,0.3335,28,ja,17,24/24,ja
273017_000200,verso,1732,1421,1231,0.2893,9,ja,10,24/24,ja
273023_000884,verso,2084,1472,1224,0.4127,8,ja,6,24/24,ja
273024_000262,verso,1775,1472,1211,0.3177,12,ja,7,24/24,ja
273024_001127,verso,2021,1263,1092,0.4597,16,ja,5,24/24,ja
273025_000112,verso,1854,1576,1307,0.2950,59,ja,28,24/24,ja
273025_000904,verso,2123,1615,1244,0.4140,41,ja,19,24/24,ja
273025_001784,verso,1878,1378,1245,0.3371,6,ja,8,24/24,ja
273034_000808,verso,2127,1536,1190,0.4405,9,ja,12,24/24,ja
273035_000244,verso,1777,1446,1178,0.3371,19,ja,29,24/24,ja
273035_001018,verso,1914,1385,1243,0.3506,48,ja,30,24/24,ja
273036_000476,verso,2206,1501,1212,0.4506,17,ja,2,24/24,ja
273036_001330,verso,1864,1424,1286,0.3101,70,ja,40,24/24,ja
273037_000562,verso,2287,1504,1218,0.4674,38,ja,45,24/24,ja
273045_000840,verso,1660,1318,1208,0.2723,13,ja,41,24/24,ja
273046_000350,verso,1892,1571,1305,0.3103,47,ja,15,24/24,ja
273046_001269,verso,1646,1401,1221,0.2582,12,ja,17,24/24,ja
273047_000580,verso,2166,1429,1250,0.4229,21,ja,58,23/24,ja
273048_000102,verso,1834,1518,1150,0.3730,20,ja,68,24/24,ja
273048_000910,verso,1943,1386,1262,0.3505,34,ja,23,24/24,ja
273056_000952,verso,2036,1403,1164,0.4283,10,ja,16,24/24,ja
273057_000498,verso,2112,1356,1157,0.4522,57,ja,41,24/24,ja
273057_001382,verso,1880,1375,1194,0.3649,29,ja,32,24/24,ja
273058_000692,verso,2183,1393,1268,0.4191,70,ja,44,24/24,ja
273059_000110,verso,1944,1453,1293,0.3349,60,ja,45,21/24,ja
273059_001054,verso,2006,1392,1198,0.4028,27,ja,26,24/24,ja
273067_000906,verso,1747,1456,1265,0.2759,7,ja,6,24/24,ja
273067_001910,verso,1640,1465,1307,0.2030,40,ja,20,24/24,ja
273068_000711,verso,1847,1590,1318,0.2864,44,ja,15,24/24,ja
273069_000072,verso,1697,1527,1269,0.2522,29,ja,13,12/24,ja
273069_000948,verso,1722,1535,1318,0.2346,31,ja,55,24/24,ja
273070_000212,verso,1779,1484,1320,0.2580,28,ja,15,24/24,ja
273084_001224,verso,1633,1341,1152,0.2945,19,ja,19,24/24,ja
273085_000070,verso,1510,1347,1282,0.1510,80,ja,37,24/24,ja
273085_001208,verso,1708,1382,1260,0.2623,15,ja,8,24/24,ja
273086_000042,verso,1719,1451,1294,0.2472,85,ja,24,24/24,ja
273086_001346,verso,1684,1388,1255,0.2548,26,ja,49,24/24,ja
273087_000496,verso,2104,1346,1198,0.4306,14,ja,12,24/24,ja
273095_001478,verso,1570,1409,1171,0.2541,52,ja,37,24/24,ja
273096_001232,verso,1723,1481,1181,0.3146,15,ja,25,24/24,ja
273097_000899,verso,1846,1532,1169,0.3667,22,ja,13,24/24,ja
273098_000446,verso,1815,1353,1168,0.3565,10,ja,7,24/24,ja
273099_000152,verso,1834,1396,1192,0.3501,21,ja,16,24/24,ja
273099_001340,verso,1544,1356,1152,0.2539,28,ja,34,24/24,ja
273106_001345,verso,1963,1307,1163,0.4075,13,ja,43,24/24,ja
273107_000971,verso,1631,1330,1220,0.2520,36,ja,5,24/24,ja
