billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273098_001496,verso,1630,1247,1150,0.2945,25,ja,13,24/24,ja
273098_001497,recto,1580,1337,1180,0.2532,30,ja,77,24/24,ja
273098_001498,verso,1627,1257,1152,0.2919,38,ja,16,24/24,ja
273098_001499,recto,1583,1335,1158,0.2685,16,ja,42,24/24,ja
273098_001500,verso,1631,1257,1151,0.2943,15,ja,15,24/24,ja
273098_001501,recto,1585,1326,1161,0.2675,12,ja,36,24/24,ja
273098_001502,verso,1621,1257,1152,0.2893,10,ja,19,24/24,ja
273098_001503,recto,1590,1326,1146,0.2792,13,ja,6,24/24,ja
273098_001504,verso,1625,1257,1151,0.2917,10,ja,11,24/24,ja
273098_001505,recto,1593,1325,1169,0.2662,9,ja,36,24/24,ja
273098_001506,verso,1629,1262,1155,0.2910,39,ja,12,24/24,ja
273098_001508,verso,1628,1263,1159,0.2881,19,ja,11,24/24,ja
273098_001509,recto,1596,1331,1177,0.2625,11,ja,47,24/24,ja
273098_001510,verso,1631,1265,1162,0.2876,9,ja,29,24/24,ja
273098_001511,recto,1600,1337,1161,0.2744,21,ja,31,24/24,ja
273098_001512,verso,1634,1264,1161,0.2895,11,ja,42,24/24,ja
273098_001513,recto,1600,1324,1176,0.2650,6,ja,58,24/24,ja
273098_001514,verso,1632,1273,1157,0.2911,9,ja,54,21/24,ja
273099_001444,verso,1507,1299,1123,0.2548,19,ja,24,24/24,ja
273099_001445,recto,1781,1328,1119,0.3717,9,ja,24,24/24,ja
273099_001446,verso,1503,1299,1111,0.2608,9,ja,37,24/24,ja
273100_001258,verso,1433,1272,1160,0.1905,17,ja,27,24/24,ja
273100_001259,recto,1813,1331,1150,0.3657,25,ja,3,24/24,ja
273100_001260,verso,1443,1261,1132,0.2155,33,ja,34,24/24,ja
273100_001261,recto,1816,1361,1137,0.3739,9,ja,20,22/24,ja
273100_001262,verso,1449,1272,1174,0.1898,15,ja,25,24/24,ja
273100_001263,recto,1814,1344,1175,0.3523,11,ja,18,24/24,ja
273100_001264,verso,1436,1263,1140,0.2061,10,ja,13,24/24,ja
273100_001265,recto,1819,1350,1141,0.3727,11,ja,9,24/24,ja
273100_001266,verso,1440,1262,1141,0.2076,10,ja,8,24/24,ja
273100_001267,recto,1822,1355,1149,0.3694,14,ja,6,24/24,ja
273100_001268,verso,1623,1303,1170,0.2791,13,ja,9,24/24,ja
273100_001269,recto,1666,1369,1186,0.2881,25,ja,30,24/24,ja
273100_001270,verso,1579,1307,1184,0.2502,4,ja,20,24/24,ja
273100_001271,recto,1708,1341,1189,0.3039,16,ja,12,24/24,ja
273100_001272,verso,1572,1284,1156,0.2646,18,ja,10,24/24,ja
273100_001273,recto,1712,1372,1206,0.2956,18,ja,45,20/24,ja
273100_001274,verso,1570,1301,1163,0.2592,8,ja,4,24/24,ja
273100_001275,recto,1716,1348,1175,0.3153,7,ja,20,24/24,ja
273100_001276,verso,1561,1306,1188,0.2389,7,ja,28,24/24,ja
273100_001294,verso,1605,1316,1214,0.2436,10,ja,23,24/24,ja
273100_001295,recto,1684,1333,1223,0.2738,16,ja,30,24/24,ja
273100_001296,verso,1601,1379,1198,0.2517,25,ja,22,24/24,ja
273100_001297,recto,1687,1298,1210,0.2828,51,ja,31,24/24,ja
273100_001298,verso,1598,1366,1202,0.2478,12,ja,28,24/24,ja
273100_001299,recto,1681,1284,1209,0.2808,27,ja,35,23/24,ja
