billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273098_001472,verso,1667,1435,1151,0.3095,18,ja,18,24/24,ja
273098_001473,recto,1650,1229,1145,0.3061,11,ja,14,24/24,ja
273098_001474,verso,1663,1459,1120,0.3265,17,ja,4,24/24,ja
273099_001360,verso,1600,1359,1126,0.2963,15,ja,5,24/24,ja
273099_001361,recto,1756,1358,1126,0.3588,8,ja,18,24/24,ja
273099_001362,verso,1594,1355,1122,0.2961,9,ja,17,24/24,ja
273099_001363,recto,1762,1358,1112,0.3689,15,ja,8,24/24,ja
273099_001364,verso,1594,1361,1098,0.3112,5,ja,9,24/24,ja
273099_001365,recto,1761,1343,1098,0.3765,5,ja,19,24/24,ja
273099_001366,verso,1596,1364,1099,0.3114,11,ja,24,24/24,ja
273100_001278,verso,1558,1311,1198,0.2311,22,ja,27,24/24,ja
273100_001279,recto,1726,1341,1207,0.3007,28,ja,29,24/24,ja
273100_001280,verso,1531,1322,1184,0.2266,15,ja,26,24/24,ja
273100_001281,recto,1742,1328,1185,0.3197,10,ja,21,24/24,ja
273100_001282,verso,1522,1320,1206,0.2076,24,ja,33,24/24,ja
273100_001283,recto,1750,1318,1214,0.3063,20,ja,21,24/24,ja
273100_001284,verso,1513,1340,1173,0.2247,21,ja,6,24/24,ja
273101_001099,verso,1743,1452,1154,0.3379,28,ja,45,24/24,ja
273101_001100,recto,1654,1301,1132,0.3156,13,ja,25,24/24,ja
273101_001101,verso,1737,1408,1191,0.3143,12,ja,37,24/24,ja
273101_001102,recto,1649,1331,1179,0.2850,27,ja,4,24/24,ja
273101_001103,verso,1736,1423,1172,0.3249,15,ja,19,24/24,ja
273101_001104,recto,1649,1310,1160,0.2965,17,ja,8,24/24,ja
273101_001105,verso,2228,2166,2077,0.0678,21,ja,28,23/24,ja
273101_001106,recto,1657,1321,1163,0.2981,18,ja,18,24/24,ja
273101_001107,verso,1737,1426,1168,0.3276,6,ja,23,24/24,ja
273101_001108,recto,1652,1316,1160,0.2978,22,ja,6,24/24,ja
273101_001109,verso,1735,1435,1156,0.3337,19,ja,23,24/24,ja
273102_001072,verso,1839,1203,1060,0.4236,19,ja,18,24/24,ja
273102_001073,recto,1890,1343,1072,0.4328,14,ja,16,24/24,ja
273102_001074,verso,1837,1198,1057,0.4246,20,ja,18,24/24,ja
273104_001559,verso,1675,1490,1143,0.3176,14,ja,20,24/24,ja
273104_001560,recto,1796,1346,1135,0.3680,10,ja,7,24/24,ja
273104_001561,verso,1675,1490,1140,0.3194,17,ja,17,24/24,ja
273104_001562,recto,1798,1349,1132,0.3704,10,ja,7,24/24,ja
273104_001563,verso,1666,1475,1179,0.2923,22,ja,42,24/24,ja
273104_001564,recto,1802,1356,1161,0.3557,10,ja,18,24/24,ja
273104_001565,verso,1666,1498,1177,0.2935,27,ja,44,24/24,ja
273104_001649,verso,1665,1265,1176,0.2937,10,ja,20,24/24,ja
273104_001650,recto,1532,1281,1195,0.2200,33,ja,22,24/24,ja
273104_001651,verso,1649,1260,1171,0.2899,9,ja,38,24/24,ja
273105_001628,verso,1756,1445,1177,0.3297,9,ja,30,24/24,ja
273105_001629,recto,1707,1370,1169,0.3152,7,ja,38,24/24,ja
273105_001630,verso,1732,1446,1152,0.3349,9,ja,18,24/24,ja
273105_001631,recto,1733,1385,1147,0.3381,11,ja,22,24/24,ja
273105_001632,verso,1726,1469,1152,0.3326,18,ja,10,24/24,ja
273105_001633,recto,1734,1361,1154,0.3345,17,ja,36,24/24,ja
273105_001634,verso,1722,1471,1143,0.3362,36,ja,13,24/24,ja
273106_001617,verso,1814,1317,1159,0.3611,8,ja,21,24/24,ja
273106_001618,recto,1993,1338,1164,0.4160,7,ja,34,24/24,ja
273106_001619,verso,1823,1349,1145,0.3719,24,ja,31,21/24,ja
273106_001620,recto,1986,1342,1151,0.4204,20,ja,39,24/24,ja
273106_001621,verso,1823,1348,1141,0.3741,20,ja,4,24/24,ja
273106_001622,recto,1986,1338,1153,0.4194,24,ja,39,24/24,ja
273106_001623,verso,1824,1357,1136,0.3772,24,ja,9,24/24,ja
273107_001883,verso,1506,1327,1114,0.2603,9,ja,12,24/24,ja
273107_001884,recto,2004,1282,1115,0.4436,13,ja,21,10/24,nej
273107_001885,verso,1522,1337,1172,0.2300,28,ja,21,24/24,ja
273107_001886,recto,1991,1284,1207,0.3938,41,ja,24,24/24,ja
273107_001887,verso,1515,1336,1183,0.2191,14,ja,15,24/24,ja
273107_001888,recto,1991,1254,1178,0.4083,8,ja,15,24/24,ja
273107_001889,verso,1514,1377,1139,0.2477,13,ja,21,24/24,ja
273108_001597,verso,1653,1348,1208,0.2692,6,ja,20,24/24,ja
273108_001598,recto,1857,1267,1206,0.3506,6,ja,23,24/24,ja
273108_001599,verso,1657,1336,1181,0.2873,16,ja,48,24/24,ja
273108_001600,recto,1859,1295,1159,0.3765,15,ja,15,24/24,ja
273108_001601,verso,1654,1359,1209,0.2690,16,ja,21,24/24,ja
273108_001602,recto,1860,1263,1198,0.3559,10,ja,22,24/24,ja
273108_001603,verso,1657,1376,1208,0.2710,49,ja,23,24/24,ja
273108_001604,recto,1858,1288,1189,0.3601,49,ja,54,21/24,ja
273108_001605,verso,1651,1351,1237,0.2508,20,ja,49,24/24,ja
273108_001606,recto,1846,1266,1210,0.3445,22,ja,15,24/24,ja
