billede,recto_verso,bredde_foer,bredde_efter_fals,bredde_efter_begge,fjernet_i_alt,fals_haeldning_px,fals_sikker,ydre_haeldning_px,ydre_baand,ydre_sikker
273104_001637,verso,1615,1456,1237,0.2341,17,ja,29,24/24,ja
273104_001638,recto,1801,1316,1215,0.3254,7,ja,36,24/24,ja
273104_001639,verso,1611,1470,1180,0.2675,25,ja,41,19/24,ja
273104_001640,recto,1806,1343,1247,0.3095,27,ja,46,24/24,ja
273104_001641,verso,1600,1460,1206,0.2462,35,ja,21,24/24,ja
273104_001642,recto,1809,1328,1230,0.3201,36,ja,53,24/24,ja
273104_001643,verso,1598,1491,1162,0.2728,24,ja,16,24/24,ja
273104_001644,recto,1799,1278,1181,0.3435,50,ja,33,24/24,ja
273104_001645,verso,1644,1257,1189,0.2768,12,ja,12,23/24,ja
273104_001646,recto,1528,1269,1186,0.2238,11,ja,9,24/24,ja
