billede,gruppe,flyt_px,baand,note,dom
273098_001496,oeve,3,24,,ok
273098_001497,oeve,21,23,,ok
273098_001498,oeve,10,21,,ok
273098_001499,oeve,13,23,,ok
273098_001500,oeve,4,24,,ok
273098_001501,oeve,25,21,,ok
273098_001502,oeve,17,22,,ok
273098_001503,oeve,10,23,,ok
273098_001504,oeve,9,23,,ok
273098_001505,oeve,17,23,,ok
273098_001506,oeve,27,21,,ok
273098_001508,oeve,33,19,,ok
273098_001509,oeve,20,21,,ok
273098_001510,oeve,82,19,,ok
273098_001511,oeve,120,14,,ok
273098_001512,oeve,23,19,,ok
273098_001513,oeve,16,19,,ok
273098_001514,oeve,31,20,,ok
273099_001444,oeve,16,23,,ok
273099_001445,oeve,16,24,,ok
273099_001446,oeve,30,20,,ok
273100_001258,oeve,25,24,,ok
273100_001259,oeve,7,24,,ok
273100_001260,oeve,170,14,,ok
273100_001261,oeve,116,16,,ok
273100_001262,oeve,111,16,,ok
273100_001263,oeve,170,14,,ok
273100_001264,oeve,65,18,,ok
273100_001265,oeve,-18,24,,ok
273100_001266,oeve,16,22,,ok
273100_001267,oeve,20,22,,ok
273100_001268,oeve,82,14,,ok
273100_001269,oeve,12,19,,ok
273100_001270,oeve,16,24,,ok
273100_001271,oeve,23,24,,ok
273100_001272,oeve,18,23,,ok
273100_001273,oeve,58,24,,nabo_let
273100_001274,oeve,5,23,,ok
273100_001275,oeve,18,21,,ok
273100_001276,oeve,47,20,,ok
273100_001294,oeve,10,24,,ok
273100_001295,oeve,9,21,,ok
273100_001296,oeve,10,24,,ok
273100_001297,oeve,26,21,,ok
273100_001298,oeve,13,23,,ok
273100_001299,oeve,20,22,,ok
273100_001300,oeve,10,23,,ok
273100_001302,oeve,17,21,,ok
273100_001303,oeve,32,21,,ok
273100_001304,oeve,158,14,,ok
273100_001305,oeve,12,22,,ok
273100_001306,oeve,26,24,,ok
273100_001307,oeve,28,19,,ok
273100_001308,oeve,23,23,,ok
273100_001309,oeve,46,17,,ok
273100_001310,oeve,40,19,,ok
273100_001311,oeve,103,15,,ok
273101_001163,oeve,37,24,,ok
273101_001164,oeve,25,23,,ok
273101_001165,oeve,61,17,,ok
