billede,gruppe,flyt_px,inde,ude,note,dom
273098_001496,oeve,3,,,for lidt blaek,ok
273098_001497,oeve,21,0.573,0.346,,ok
273098_001498,oeve,10,,,for lidt blaek,ok
273098_001499,oeve,13,,,for lidt blaek,ok
273098_001500,oeve,4,,,for lidt blaek,ok
273098_001501,oeve,25,0.744,0.302,,ok
273098_001502,oeve,17,,,for lidt blaek,ok
273098_001503,oeve,10,0.858,0.579,,ok
273098_001504,oeve,9,,,for lidt blaek,ok
273098_001505,oeve,17,,,for lidt blaek,ok
273098_001506,oeve,27,,,for lidt blaek,ok
273098_001508,oeve,33,0.438,0.383,,ok
273098_001509,oeve,20,0.754,0.524,,ok
273098_001510,oeve,82,0.665,0.739,,ok
273098_001511,oeve,120,0.685,0.745,,ok
273098_001512,oeve,23,,,for lidt blaek,ok
273098_001513,oeve,16,,,for lidt blaek,ok
273098_001514,oeve,31,,,for lidt blaek,ok
273099_001444,oeve,16,,,for lidt blaek,ok
273099_001445,oeve,16,,,for lidt blaek,ok
273099_001446,oeve,30,,,for lidt blaek,ok
273100_001258,oeve,25,,,for lidt blaek,ok
273100_001259,oeve,7,,,for lidt blaek,ok
273100_001260,oeve,170,0.61,0.58,,ok
273100_001261,oeve,116,0.715,0.689,,ok
273100_001262,oeve,111,0.611,0.577,,ok
273100_001263,oeve,170,0.714,0.73,,ok
273100_001264,oeve,65,0.673,0.523,,ok
273100_001265,oeve,-18,,,for lidt blaek,ok
273100_001266,oeve,16,,,for lidt blaek,ok
273100_001267,oeve,20,0.837,0.258,,ok
273100_001268,oeve,82,0.629,0.594,,ok
273100_001269,oeve,12,0.693,0.652,,ok
273100_001270,oeve,16,,,for lidt blaek,ok
273100_001271,oeve,23,0.726,0.408,,ok
273100_001272,oeve,18,,,for lidt blaek,ok
273100_001273,oeve,58,,,for lidt blaek,nabo_let
273100_001274,oeve,5,,,for lidt blaek,ok
273100_001275,oeve,18,,,for lidt blaek,ok
273100_001276,oeve,47,,,for lidt blaek,ok
273100_001294,oeve,10,0.782,0.374,,ok
273100_001295,oeve,9,0.505,0.586,,ok
273100_001296,oeve,10,,,for lidt blaek,ok
273100_001297,oeve,26,0.398,0.408,,ok
273100_001298,oeve,13,,,for lidt blaek,ok
273100_001299,oeve,20,,,for lidt blaek,ok
273100_001300,oeve,10,,,for lidt blaek,ok
273100_001302,oeve,17,,,for lidt blaek,ok
273100_001303,oeve,32,,,for lidt blaek,ok
273100_001304,oeve,158,0.528,0.625,,ok
273100_001305,oeve,12,,,for lidt blaek,ok
273100_001306,oeve,26,,,for lidt blaek,ok
273100_001307,oeve,28,,,for lidt blaek,ok
273100_001308,oeve,23,,,for lidt blaek,ok
273100_001309,oeve,46,,,for lidt blaek,ok
273100_001310,oeve,40,,,for lidt blaek,ok
273100_001311,oeve,103,,,for lidt blaek,ok
273101_001163,oeve,37,0.555,0.439,,ok
273101_001164,oeve,25,,,for lidt blaek,ok
273101_001165,oeve,61,,,for lidt blaek,ok
273101_001166,oeve,10,,,for lidt blaek,ok
273101_001167,oeve,14,,,for lidt blaek,ok
273101_001168,oeve,21,,,for lidt blaek,ok
