billede,gruppe,fremmed,soejle,note,dom
273098_001496,oeve,0.932,0,,ok
273098_001497,oeve,0.927,1320,,ok
273098_001498,oeve,0.926,30,,ok
273098_001499,oeve,0.924,1319,,ok
273098_001500,oeve,0.931,0,,ok
273098_001501,oeve,0.928,1313,,ok
273098_001502,oeve,0.932,30,,ok
273098_001503,oeve,0.93,1275,,ok
273098_001504,oeve,0.932,30,,ok
273098_001505,oeve,0.929,1280,,ok
273098_001506,oeve,0.933,0,,ok
273098_001508,oeve,0.93,0,,ok
273098_001509,oeve,0.926,1315,,ok
273098_001510,oeve,0.928,0,,ok
273098_001511,oeve,0.93,1282,,ok
273098_001512,oeve,0.93,0,,ok
273098_001513,oeve,0.928,1316,,ok
273098_001514,oeve,0.922,0,,ok
273099_001444,oeve,0.929,0,,ok
273099_001445,oeve,0.925,1329,,ok
273099_001446,oeve,0.931,0,,ok
273100_001258,oeve,0.926,0,,ok
273100_001259,oeve,0.93,1322,,ok
273100_001260,oeve,0.932,0,,ok
273100_001261,oeve,0.93,1343,,ok
273100_001262,oeve,0.932,0,,ok
273100_001263,oeve,0.931,1330,,ok
273100_001264,oeve,0.933,0,,ok
273100_001265,oeve,0.933,1326,,ok
273100_001266,oeve,0.931,0,,ok
273100_001267,oeve,0.93,1332,,ok
273100_001268,oeve,0.932,30,,ok
273100_001269,oeve,0.932,1324,,ok
273100_001270,oeve,0.931,0,,ok
273100_001271,oeve,0.93,1318,,ok
273100_001272,oeve,0.93,0,,ok
273100_001273,oeve,0.929,1333,,nabo_let
273100_001274,oeve,0.93,0,,ok
273100_001275,oeve,0.933,1323,,ok
273100_001276,oeve,0.93,0,,ok
273100_001294,oeve,0.913,0,,ok
273100_001295,oeve,0.932,1316,,ok
273100_001296,oeve,0.928,0,,ok
273100_001297,oeve,0.927,1260,,ok
273100_001298,oeve,0.931,0,,ok
273100_001299,oeve,0.929,1256,,ok
273100_001300,oeve,0.929,0,,ok
273100_001302,oeve,0.93,0,,ok
273100_001303,oeve,0.927,1260,,ok
273100_001304,oeve,0.927,0,,ok
273100_001305,oeve,0.925,1263,,ok
273100_001306,oeve,0.933,0,,ok
273100_001307,oeve,0.929,1259,,ok
273100_001308,oeve,0.93,0,,ok
273100_001309,oeve,0.926,1257,,ok
273100_001310,oeve,0.893,0,,ok
273100_001311,oeve,0.902,1311,,ok
273101_001163,oeve,0.854,30,,ok
273101_001164,oeve,0.926,1262,,ok
273101_001165,oeve,0.928,0,,ok
273101_001166,oeve,0.92,1320,,ok
273101_001167,oeve,0.931,0,,ok
273101_001168,oeve,0.93,1262,,ok
