billede,recto_verso,bredde_foer,bredde_efter,fjernet_andel,haeldning_px,baand_med_kant,sikker
273098_001496,verso,1630,1247,0.2350,24,24/24,ja
273098_001497,recto,1580,1337,0.1538,30,24/24,ja
273098_001498,verso,1627,1254,0.2293,35,24/24,ja
273098_001499,recto,1583,1334,0.1573,15,24/24,ja
273098_001500,verso,1631,1255,0.2305,14,24/24,ja
273098_001501,recto,1585,1326,0.1634,11,24/24,ja
273098_001502,verso,1621,1256,0.2252,9,24/24,ja
273098_001503,recto,1590,1326,0.1660,13,24/24,ja
273098_001508,verso,1628,1262,0.2248,20,24/24,ja
273098_001509,recto,1596,1329,0.1673,9,24/24,ja
273098_001510,verso,1631,1265,0.2244,9,24/24,ja
273098_001511,recto,1600,1338,0.1637,22,24/24,ja
273098_001512,verso,1634,1264,0.2264,11,24/24,ja
273098_001513,recto,1600,1324,0.1725,7,24/24,ja
273098_001514,verso,1632,1274,0.2194,10,24/24,ja
273099_001444,verso,1507,1297,0.1393,17,24/24,ja
273099_001445,recto,1781,1329,0.2538,10,24/24,ja
273100_001258,verso,1433,1272,0.1124,18,24/24,ja
273100_001259,recto,1813,1328,0.2675,22,24/24,ja
273100_001260,verso,1443,1261,0.1261,33,24/24,ja
273100_001294,verso,1605,1317,0.1794,10,24/24,ja
273100_001295,recto,1684,1333,0.2084,17,24/24,ja
273100_001296,verso,1601,1378,0.1393,25,24/24,ja
273100_001297,recto,1687,1296,0.2318,48,24/24,ja
273100_001298,verso,1598,1367,0.1446,14,24/24,ja
273100_001302,verso,1591,1344,0.1552,10,24/24,ja
273100_001303,recto,1679,1289,0.2323,23,24/24,ja
273100_001304,verso,1585,1339,0.1552,9,24/24,ja
273100_001305,recto,1687,1308,0.2247,10,24/24,ja
273100_001306,verso,1583,1347,0.1491,22,24/24,ja
273100_001307,recto,1675,1281,0.2352,12,24/24,ja
273100_001308,verso,1578,1348,0.1458,12,24/24,ja
273101_001163,verso,1457,1264,0.1325,9,24/24,ja
273101_001164,recto,1736,1291,0.2563,9,24/24,ja
273101_001165,verso,1661,1417,0.1469,44,24/24,ja
273101_001166,recto,1699,1337,0.2131,33,24/24,ja
273101_001167,verso,1661,1414,0.1487,8,24/24,ja
273102_001064,verso,1838,1197,0.3487,21,24/24,ja
273102_001065,recto,1891,1351,0.2856,12,24/24,ja
273103_001436,verso,1515,1333,0.1201,60,24/24,ja
273103_001437,recto,1790,1356,0.2425,48,24/24,ja
273103_001438,verso,1515,1329,0.1228,11,24/24,ja
273103_001439,recto,1795,1340,0.2535,12,24/24,ja
273103_001460,verso,1481,1284,0.1330,50,24/24,ja
273103_001461,recto,1721,1304,0.2423,32,24/24,ja
273103_001462,verso,1474,1232,0.1642,47,24/24,ja
273103_001463,recto,1710,1331,0.2216,41,24/24,ja
273103_001464,verso,1471,1286,0.1258,52,24/24,ja
273103_001465,recto,1731,1296,0.2513,35,24/24,ja
273103_001466,verso,1468,1236,0.1580,41,24/24,ja
273103_001467,recto,1727,1351,0.2177,41,24/24,ja
273104_001633,verso,1617,1440,0.1095,36,24/24,ja
273104_001634,recto,1802,1349,0.2514,12,24/24,ja
273104_001635,verso,1617,1416,0.1243,16,24/24,ja
273104_001637,verso,1615,1456,0.0985,17,24/24,ja
273104_001638,recto,1801,1316,0.2693,7,24/24,ja
273104_001639,verso,1611,1470,0.0875,25,24/24,ja
273104_001640,recto,1806,1343,0.2564,27,24/24,ja
273104_001641,verso,1600,1460,0.0875,35,24/24,ja
273104_001642,recto,1809,1328,0.2659,36,24/24,ja
273104_001643,verso,1598,1491,0.0670,24,24/24,ja
273104_001644,recto,1799,1278,0.2896,50,24/24,ja
273104_001645,verso,1644,1257,0.2354,12,24/24,ja
273104_001646,recto,1528,1269,0.1695,11,24/24,ja
273105_001552,verso,1703,1402,0.1767,25,24/24,ja
273105_001553,recto,1737,1414,0.1860,49,24/24,ja
273105_001554,verso,1702,1410,0.1716,34,24/24,ja
273105_001568,verso,1703,1429,0.1609,30,24/24,ja
273105_001569,recto,1741,1399,0.1964,27,24/24,ja
273105_001570,verso,1701,1403,0.1752,7,24/24,ja
273105_001571,recto,1744,1401,0.1967,13,24/24,ja
273105_001572,verso,1699,1420,0.1642,34,24/24,ja
273105_001644,verso,1706,1451,0.1495,10,24/24,ja
273105_001645,recto,1741,1346,0.2269,29,24/24,ja
273105_001707,verso,1614,1447,0.1035,30,24/24,ja
273105_001708,recto,1817,1349,0.2576,29,24/24,ja
273105_001709,verso,1604,1451,0.0954,24,24/24,ja
273105_001710,recto,1808,1336,0.2611,42,24/24,ja
273105_001711,verso,1598,1467,0.0820,33,24/24,ja
273105_001712,recto,1809,1310,0.2758,18,24/24,ja
273105_001713,verso,1597,1402,0.1221,22,24/24,ja
273105_001714,recto,1796,1355,0.2455,22,24/24,ja
273106_001693,verso,1756,1320,0.2483,16,24/24,ja
273106_001694,recto,1978,1284,0.3509,17,24/24,ja
273106_001695,verso,1756,1302,0.2585,26,24/24,ja
273107_001863,verso,1542,1326,0.1401,12,24/24,ja
273107_001864,recto,1983,1296,0.3464,19,24/24,ja
273107_001865,verso,1538,1341,0.1281,24,24/24,ja
273107_001866,recto,1986,1288,0.3515,13,24/24,ja
273108_001537,verso,1724,1334,0.2262,7,24/24,ja
273108_001538,recto,1836,1315,0.2838,6,24/24,ja
273108_001553,verso,1709,1356,0.2066,15,24/24,ja
273108_001554,recto,1843,1299,0.2952,10,24/24,ja
273108_001555,verso,1708,1396,0.1827,19,24/24,ja
273108_001556,recto,1843,1269,0.3114,15,24/24,ja
273108_001557,verso,1705,1368,0.1977,25,24/24,ja
273109_000081,verso,1806,1456,0.1938,51,18/24,ja
273110_001525,verso,1647,1366,0.1706,10,24/24,ja
273110_001526,recto,1889,1258,0.3340,7,24/24,ja
273110_001527,verso,1649,1379,0.1637,30,24/24,ja
273110_001528,recto,1878,1267,0.3253,21,24/24,ja
273110_001529,verso,1646,1368,0.1689,7,24/24,ja
273111_001370,verso,1626,1409,0.1335,14,24/24,ja
273111_001371,recto,1953,1259,0.3554,13,24/24,ja
273111_001374,verso,1624,1411,0.1312,11,24/24,ja
273111_001375,recto,1953,1260,0.3548,17,24/24,ja
273111_001376,verso,1626,1446,0.1107,13,24/24,ja
273111_001377,recto,1961,1247,0.3641,11,24/24,ja
37554_001413,verso,1857,1344,0.2763,40,24/24,ja
37554_001414,recto,1902,1288,0.3228,15,24/24,ja
37554_001491,verso,1807,1265,0.2999,9,24/24,ja
37554_001492,recto,1912,1308,0.3159,13,24/24,ja
37554_001493,verso,1803,1265,0.2984,7,24/24,ja
37554_001494,recto,1914,1316,0.3124,4,24/24,ja
37554_001495,verso,1800,1258,0.3011,8,24/24,ja
37554_001496,recto,1913,1307,0.3168,12,24/24,ja
37554_001497,verso,1803,1297,0.2806,12,21/24,ja
37554_001498,recto,1896,1270,0.3302,13,14/24,ja
