billede,gruppe,recto_verso,bredde,afvigelse_px,ydre_baand,dom
273101_001105,proeve_LAAST,verso,2077,897,23/24,ok
273100_001310,oeve,verso,1292,108,18/24,ok
273103_001470,oeve,verso,1237,108,20/24,ok
273107_000971,ekstra_uden_facit,verso,1220,87,24/24,ok
273105_001716,oeve,recto,1249,74,24/24,ok
273107_001886,proeve_LAAST,recto,1207,73,24/24,ok
273099_000152,ekstra_uden_facit,verso,1192,70,24/24,ok
273105_001708,oeve,recto,1244,69,24/24,ok
273111_001380,oeve,verso,1247,68,24/24,ok
273108_001607,proeve_LAAST,verso,1259,68,24/24,ok
273103_001460,oeve,verso,1195,66,24/24,ok
273103_001471,oeve,recto,1243,64,22/24,ok
273025_000112,ekstra_uden_facit,verso,1307,62,24/24,ok
273024_000262,ekstra_uden_facit,verso,1211,60,24/24,ok
273104_001637,selvhentet,verso,1237,60,24/24,ok
273104_001640,selvhentet,recto,1247,57,24/24,nabo
273048_000910,ekstra_uden_facit,verso,1262,56,24/24,ok
273105_001712,oeve,recto,1228,53,24/24,ok
273104_001634,oeve,recto,1240,50,24/24,ok
273107_001887,proeve_LAAST,verso,1183,50,24/24,ok
273100_001311,oeve,recto,1240,49,23/24,ok
273101_001166,oeve,recto,1220,49,24/24,ok
273105_001710,oeve,recto,1224,49,24/24,ok
273059_000110,ekstra_uden_facit,verso,1293,48,21/24,ok
273110_001534,oeve,recto,1240,47,24/24,ok
273110_001533,oeve,verso,1226,46,24/24,ok
273108_001605,proeve_LAAST,verso,1237,46,24/24,ok
273106_001694,oeve,recto,1203,45,24/24,ok
273103_001464,oeve,verso,1173,44,24/24,ok
273105_001553,oeve,recto,1219,44,24/24,nabo_let
273107_001888,proeve_LAAST,recto,1178,44,24/24,ok
273104_001633,oeve,verso,1220,43,24/24,ok
273046_000350,ekstra_uden_facit,verso,1305,42,24/24,ok
273105_001711,oeve,verso,1202,41,19/24,ok
273105_001715,oeve,verso,1201,40,24/24,ok
273104_001642,selvhentet,recto,1230,40,24/24,ok
273106_001693,oeve,verso,1184,39,23/24,ok
273107_001885,proeve_LAAST,verso,1172,39,24/24,ok
37554_001498,oeve,recto,1183,38,24/24,ok
273105_001646,oeve,verso,1198,37,24/24,ok
273036_001330,ekstra_uden_facit,verso,1286,37,24/24,ok
273111_001381,oeve,recto,1225,35,24/24,ok
273101_001164,oeve,recto,1204,33,23/24,ok
273035_001018,ekstra_uden_facit,verso,1243,33,24/24,ok
273100_001295,oeve,recto,1223,32,24/24,ok
273100_001294,oeve,verso,1214,30,24/24,ok
273099_001340,ekstra_uden_facit,verso,1152,30,24/24,ok
273104_001641,selvhentet,verso,1206,29,24/24,ok
273103_001465,oeve,recto,1207,28,24/24,ok
273103_001461,oeve,recto,1205,26,24/24,ok
273109_000081,oeve,verso,1277,26,18/24,ok
37554_001413,oeve,verso,1193,26,24/24,ok
273069_000948,ekstra_uden_facit,verso,1318,25,24/24,ok
273108_001606,proeve_LAAST,recto,1210,25,24/24,ok
273104_001638,selvhentet,recto,1215,25,24/24,ok
273101_001168,oeve,recto,1194,23,24/24,ok
273100_001283,proeve_LAAST,recto,1214,23,24/24,ok
273100_001282,proeve_LAAST,verso,1206,22,24/24,ok
273067_001910,ekstra_uden_facit,verso,1307,21,24/24,ok
273108_001598,proeve_LAAST,recto,1206,21,24/24,ok
273086_000042,ekstra_uden_facit,verso,1294,20,24/24,ok
273098_001497,oeve,recto,1180,19,24/24,ok
273100_001297,oeve,recto,1210,19,24/24,ok
273103_001468,oeve,verso,1148,19,24/24,ok
273057_001382,ekstra_uden_facit,verso,1194,19,24/24,ok
273100_001298,oeve,verso,1202,18,24/24,ok
273100_001299,oeve,recto,1209,18,23/24,ok
273105_001709,oeve,verso,1179,18,24/24,ok
273111_001378,oeve,verso,1197,18,24/24,ok
273106_001345,ekstra_uden_facit,verso,1163,18,24/24,ok
273102_001073,proeve_LAAST,recto,1072,18,24/24,ok
273108_001601,proeve_LAAST,verso,1209,18,24/24,ok
273100_001306,oeve,verso,1201,17,24/24,ok
273105_001707,oeve,verso,1178,17,24/24,ok
273110_001532,oeve,recto,1210,17,24/24,ok
273108_001597,proeve_LAAST,verso,1208,17,24/24,ok
273108_001603,proeve_LAAST,verso,1208,17,24/24,nabo_let
273098_001509,oeve,recto,1177,16,24/24,ok
37554_001497,oeve,verso,1183,16,24/24,ok
273098_000446,ekstra_uden_facit,verso,1168,16,24/24,ok
