billede,recto_verso,klasse,blad_synligt,efterproevet_fuld_oploesning,note
273098_001496,verso,ren,nej,nej,
273098_001497,recto,ren,nej,nej,
273098_001498,verso,ren,nej,nej,
273098_001499,recto,ren,nej,nej,
273098_001500,verso,ren,nej,nej,
273098_001501,recto,ren,nej,nej,
273098_001502,verso,ren,nej,nej,
273098_001503,recto,ren,nej,nej,
273098_001508,verso,ren,nej,nej,
273098_001509,recto,ren,nej,nej,
273098_001510,verso,ren,usikker,nej,
273098_001511,recto,ren,ja,nej,
273098_001512,verso,ren,nej,nej,
273098_001513,recto,ren,nej,nej,
273098_001514,verso,ren,nej,nej,
273099_001444,verso,ren,nej,nej,
273099_001445,recto,fremmed_tekst,ja,nej,fladt blad med tydelige bogstavrester langs kanten
273100_001258,verso,ren,nej,nej,
273100_001259,recto,ren,nej,nej,
273100_001260,verso,ren,nej,nej,
273100_001294,verso,ren,nej,nej,
273100_001295,recto,ren,usikker,nej,
273100_001296,verso,ren,ja,nej,
273100_001297,recto,ren,ja,nej,
273100_001298,verso,ren,ja,nej,
273100_001302,verso,ren,nej,nej,
273100_001303,recto,ren,usikker,nej,
273100_001304,verso,ren,ja,nej,
273100_001305,recto,ren,usikker,nej,
273100_001306,verso,ren,nej,nej,
273100_001307,recto,ren,nej,nej,
273100_001308,verso,ren,nej,nej,
273101_001163,verso,ren,nej,nej,
273101_001164,recto,ren,usikker,nej,
273101_001165,verso,ren,nej,nej,
273101_001166,recto,ren,ja,ja,fuld oploesning: tydelig kantlinje og fladt blankt blad udenfor
273101_001167,verso,ren,nej,nej,
273102_001064,verso,ren,nej,nej,
273102_001065,recto,ren,ja,ja,fuld oploesning: ingen fremmed skrift; leddene til venstre er bladkanter
273103_001436,verso,ren,nej,nej,
273103_001437,recto,fremmed_tekst,ja,nej,"fladt blad, skriftrester oeverst"
273103_001438,verso,ren,nej,nej,
273103_001439,recto,ren,usikker,nej,
273103_001460,verso,ren,nej,nej,
273103_001461,recto,ren,nej,nej,
273103_001462,verso,ren,nej,nej,
273103_001463,recto,usikker,nej,ja,"fuld oploesning: stadig tvivlsom, se usikker-noten"
273103_001464,verso,ren,nej,nej,
273103_001465,recto,ren,nej,nej,
273103_001466,verso,ren,nej,nej,
273103_001467,recto,ren,ja,nej,
273104_001633,verso,ren,nej,nej,
273104_001634,recto,ren,nej,nej,
273104_001635,verso,ren,nej,nej,
273104_001637,verso,ren,nej,nej,
273104_001638,recto,ren,nej,nej,
273104_001639,verso,ren,nej,nej,
273104_001640,recto,ren,ja,nej,
273104_001641,verso,ren,usikker,nej,
273104_001642,recto,ren,nej,nej,
273104_001643,verso,ren,nej,nej,
273104_001644,recto,ren,usikker,nej,
273104_001645,verso,ren,nej,ja,"fuld oploesning: teksten er VORES egen, spejlvendt i arket. Ikke fremmed."
273104_001646,recto,ren,nej,nej,
273105_001552,verso,ren,nej,nej,
273105_001553,recto,ren,nej,nej,
273105_001554,verso,ren,nej,nej,
273105_001568,verso,ren,nej,nej,
273105_001569,recto,ren,nej,nej,
273105_001570,verso,ren,nej,nej,
273105_001571,recto,ren,nej,nej,
273105_001572,verso,ren,nej,nej,
273105_001644,verso,ren,nej,nej,
273105_001645,recto,ren,nej,nej,
273105_001707,verso,ren,nej,nej,
273105_001708,recto,ren,nej,ja,"fuld oploesning: maerkerne er sidens egne punktummer, ikke fremmed blaek"
273105_001709,verso,ren,nej,nej,
273105_001710,recto,ren,nej,nej,
273105_001711,verso,ren,nej,nej,
273105_001712,recto,ren,nej,nej,
273105_001713,verso,ren,nej,nej,
273105_001714,recto,ren,ja,nej,
273106_001693,verso,ren,nej,nej,
273106_001694,recto,ren,nej,nej,
273106_001695,verso,ren,nej,nej,
273107_001863,verso,ren,nej,nej,
273107_001864,recto,fremmed_tekst,ja,nej,smal blad-stribe med bogstavrester
273107_001865,verso,ren,nej,nej,
273107_001866,recto,fremmed_tekst,ja,nej,"smal blad-stribe med bogstavrester, samme blad som _001864"
273108_001537,verso,ren,nej,nej,
273108_001538,recto,ren,nej,nej,
273108_001553,verso,ren,nej,nej,
273108_001554,recto,ren,nej,nej,
273108_001555,verso,ren,nej,nej,
273108_001556,recto,ren,nej,nej,
273108_001557,verso,ren,nej,nej,
273109_000081,verso,ren,nej,nej,
273110_001525,verso,ren,nej,nej,
273110_001526,recto,ren,nej,nej,
273110_001527,verso,ren,nej,nej,
273110_001528,recto,ren,ja,nej,
273110_001529,verso,ren,nej,nej,
273111_001370,verso,ren,nej,nej,
273111_001371,recto,ren,nej,nej,
273111_001374,verso,ren,nej,nej,
273111_001375,recto,ren,nej,nej,
273111_001376,verso,ren,nej,nej,
273111_001377,recto,ren,ja,nej,
37554_001413,verso,ren,nej,nej,
37554_001414,recto,ren,nej,nej,
37554_001491,verso,ren,nej,nej,
37554_001492,recto,fremmed_tekst,ja,nej,"fladt blad, gennemgaaende ordrester (erk, Dy, ch, els, ij)"
37554_001493,verso,ren,nej,nej,
37554_001494,recto,fremmed_tekst,ja,nej,samme blad som _001492
37554_001495,verso,ren,nej,nej,
37554_001496,recto,fremmed_tekst,ja,nej,samme blad som _001492
37554_001497,verso,ren,nej,nej,
37554_001498,recto,ren,nej,nej,
