billede,recto_verso,bredde,baand_med_kant,baand_i_alt,sikker,kant_median,haeldning_px,fjernet_px,fjernet_andel,blad,baelte_bredde,baand_med_blad,facit_klasse,facit_blad
273098_001496,verso,1247,24,24,ja,108,14,96,0.077,nej,26,0,ren,nej
273098_001497,recto,1337,24,24,ja,1139,78,158,0.1182,ja,43,12,ren,nej
273098_001498,verso,1254,24,24,ja,118,16,105,0.0837,nej,38,0,ren,nej
273098_001499,recto,1334,24,24,ja,1132,41,177,0.1327,ja,50,16,ren,nej
273098_001500,verso,1255,24,24,ja,119,14,106,0.0845,nej,35,0,ren,nej
273098_001501,recto,1326,24,24,ja,1139,36,165,0.1244,nej,34,1,ren,nej
273098_001502,verso,1256,24,24,ja,119,12,105,0.0836,nej,44,11,ren,nej
273098_001503,recto,1326,24,24,ja,1137,6,180,0.1357,nej,27,0,ren,nej
273098_001508,verso,1262,24,24,ja,117,14,101,0.08,nej,23,0,ren,nej
273098_001509,recto,1329,24,24,ja,1149,46,155,0.1166,ja,45,12,ren,nej
273098_001510,verso,1265,24,24,ja,125,29,103,0.0814,nej,33,0,ren,usikker
273098_001511,recto,1338,24,24,ja,1140,30,176,0.1315,ja,57,22,ren,ja
273098_001512,verso,1264,24,24,ja,130,41,103,0.0815,nej,33,3,ren,nej
273098_001513,recto,1324,24,24,ja,1139,59,147,0.111,ja,49,14,ren,nej
273098_001514,verso,1274,23,24,ja,132,71,99,0.0777,ja,56,21,ren,nej
273099_001444,verso,1297,24,24,ja,197,24,176,0.1357,nej,25,0,ren,nej
273099_001445,recto,1329,24,24,ja,1106,25,208,0.1565,ja,89,24,fremmed_tekst,ja
273100_001258,verso,1272,24,24,ja,134,27,111,0.0873,nej,21,0,ren,nej
273100_001259,recto,1328,24,24,ja,1139,3,181,0.1363,nej,38,2,ren,nej
273100_001260,verso,1261,23,24,ja,126,19,111,0.088,ja,49,19,ren,nej
273100_001294,verso,1317,24,24,ja,118,25,101,0.0767,nej,8,0,ren,nej
273100_001295,recto,1333,24,24,ja,1205,30,109,0.0818,nej,27,0,ren,usikker
273100_001296,verso,1378,24,24,ja,198,21,181,0.1313,ja,94,24,ren,ja
273100_001297,recto,1296,24,24,ja,1187,30,88,0.0679,nej,6,0,ren,ja
273100_001298,verso,1367,24,24,ja,190,27,164,0.12,ja,81,24,ren,ja
273100_001302,verso,1344,24,24,ja,164,13,151,0.1124,ja,55,24,ren,nej
273100_001303,recto,1289,24,24,ja,1188,19,87,0.0675,nej,7,0,ren,usikker
273100_001304,verso,1339,24,24,ja,179,25,163,0.1217,ja,73,24,ren,ja
273100_001305,recto,1308,24,24,ja,1153,14,139,0.1063,ja,67,23,ren,usikker
273100_001306,verso,1347,24,24,ja,165,31,144,0.1069,ja,44,12,ren,nej
273100_001307,recto,1281,24,24,ja,1181,16,86,0.0671,nej,17,0,ren,nej
273100_001308,verso,1348,23,24,ja,164,20,149,0.1105,nej,42,10,ren,nej
273101_001163,verso,1264,22,24,ja,83,21,72,0.057,nej,22,0,ren,nej
273101_001164,recto,1291,22,24,ja,1194,23,84,0.0651,nej,6,0,ren,usikker
273101_001165,verso,1417,24,24,ja,241,13,230,0.1623,nej,13,0,ren,nej
273101_001166,recto,1337,24,24,ja,1181,71,119,0.089,ja,74,21,ren,ja
273101_001167,verso,1414,24,24,ja,239,6,229,0.162,nej,6,0,ren,nej
273102_001064,verso,1197,24,24,ja,164,13,151,0.1261,nej,11,0,ren,nej
273102_001065,recto,1351,24,24,ja,1032,19,304,0.225,ja,190,24,ren,ja
273103_001436,verso,1333,24,24,ja,206,7,198,0.1485,nej,8,2,ren,nej
273103_001437,recto,1356,23,24,ja,1130,92,176,0.1298,ja,77,21,fremmed_tekst,ja
273103_001438,verso,1329,24,24,ja,224,19,211,0.1588,nej,22,0,ren,nej
273103_001439,recto,1340,24,24,ja,1110,30,206,0.1537,ja,71,24,ren,usikker
273103_001460,verso,1284,24,24,ja,110,31,89,0.0693,nej,15,0,ren,nej
273103_001461,recto,1304,24,24,ja,1176,56,98,0.0752,nej,22,0,ren,nej
273103_001462,verso,1232,24,24,ja,122,15,108,0.0877,nej,12,1,ren,nej
