billede,recto_verso,bredde_foer,bredde_efter,haeldning_px,baand_med_kant,sikker,fil
273098_001503,recto,1590,1352,13,10/10,ja,273098_001503.webp
273099_001445,recto,1781,1355,7,10/10,ja,273099_001445.webp
273100_001306,verso,1583,1369,17,10/10,ja,273100_001306.webp
273101_001165,verso,1661,1441,40,10/10,ja,273101_001165.webp
273102_001064,verso,1838,1223,20,10/10,ja,273102_001064.webp
273103_001462,verso,1474,1253,44,10/10,ja,273103_001462.webp
273104_001639,verso,1611,1494,25,10/10,ja,273104_001639.webp
273105_001570,verso,1701,1431,9,10/10,ja,273105_001570.webp
273106_001694,recto,1978,1315,15,10/10,ja,273106_001694.webp
273107_001864,recto,1983,1325,18,10/10,ja,273107_001864.webp
273108_001555,verso,1708,1420,16,10/10,ja,273108_001555.webp
273109_000081,verso,1806,1483,88,10/10,ja,273109_000081.webp
273110_001527,verso,1649,1401,26,10/10,ja,273110_001527.webp
273111_001376,verso,1626,1472,13,10/10,ja,273111_001376.webp
37554_001493,verso,1803,1291,6,10/10,ja,37554_001493.webp
