sbid;name;year;month;date_from;date_to;digital_version_url
37536;1879, November - december;1879;November - december;1879-11-01;1879-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/37536
37537;1880, Januar;1880;Januar;1880-01-01;1880-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37537
37538;1881, Januar - Juni;1881;Januar - Juni;1881-01-01;1881-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/37538
37539;1882, Januar - Februar;1882;Januar - Februar;1882-01-01;1882-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/37539
37540;1883, Januar - Februar;1883;Januar - Februar;1883-01-01;1883-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/37540
37541;1884, Januar - Marts;1884;Januar - Marts;1884-01-01;1884-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/37541
37542;1885, Januar;1885;Januar;1885-01-01;1885-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37542
37543;1886, Januar;1886;Januar;1886-01-01;1886-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37543
37544;1887, Januar;1887;Januar;1887-01-01;1887-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37544
37545;1888, Januar;1888;Januar;1888-01-01;1888-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37545
37555;1898, Januar;1898;Januar;1898-01-01;1898-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37555
37556;1899, Januar;1899;Januar;1899-01-01;1899-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37556
37557;1900, Januar bd. 1;1900;Januar bd. 1;1900-01-01;1900-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37557
37558;1901, Januar;1901;Januar;1901-01-01;1901-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37558
37559;1902, Januar;1902;Januar;1902-01-01;1902-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37559
37560;1903, Januar;1903;Januar;1903-01-01;1903-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37560
37561;1904, Januar;1904;Januar;1904-01-01;1904-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37561
37562;1905, Januar;1905;Januar;1905-01-01;1905-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37562
37563;1906, Januar;1906;Januar;1906-01-01;1906-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37563
37564;1907, Januar;1907;Januar;1907-01-01;1907-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37564
37565;1908, Januar;1908;Januar;1908-01-01;1908-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37565
37566;1909, Januar;1909;Januar;1909-01-01;1909-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37566
37567;1910, Januar;1910;Januar;1910-01-01;1910-01-31;https://kbharkiv.dk/permalink/kildeviser/unit/37567
272944;1880, Februar;1880;Februar;1880-02-01;1880-02-29;https://kbharkiv.dk/permalink/kildeviser/unit/272944
272945;1880, Marts;1880;Marts;1880-03-01;1880-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/272945
272946;1880, April;1880;April;1880-04-01;1880-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/272946
272947;1880, Maj;1880;Maj;1880-05-01;1880-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/272947
272948;1880, Juni - Juli;1880;Juni - Juli;1880-06-01;1880-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/272948
272949;1880, August - September;1880;August - September;1880-08-01;1880-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/272949
272950;1880, Oktober - December;1880;Oktober - December;1880-10-01;1880-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/272950
272951;1881, Juli;1881;Juli;1881-07-01;1881-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/272951
272952;1881, August;1881;August;1881-08-01;1881-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/272952
272953;1881, September - Oktober;1881;September - Oktober;1881-09-01;1881-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/272953
272954;1881, November - December;1881;November - December;1881-11-01;1881-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/272954
272955;1882, Marts - April;1882;Marts - April;1882-03-01;1882-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/272955
272956;1882, Maj - Juni;1882;Maj - Juni;1882-05-01;1882-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/272956
272957;1882, Juli - August;1882;Juli - August;1882-07-01;1882-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/272957
272958;1882, September - Oktober;1882;September - Oktober;1882-09-01;1882-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/272958
272959;1882, November - December;1882;November - December;1882-11-01;1882-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/272959
272960;1883, Marts - Maj;1883;Marts - Maj;1883-03-01;1883-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/272960
272961;1883, Juni - August;1883;Juni - August;1883-06-01;1883-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/272961
272962;1883, September - December;1883;September - December;1883-09-01;1883-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/272962
272963;1884, April - Juni;1884;April - Juni;1884-04-01;1884-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/272963
272964;1884, Juli - August;1884;Juli - August;1884-07-01;1884-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/272964
272965;1884, September - Oktober;1884;September - Oktober;1884-09-01;1884-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/272965
272966;1884, November;1884;November;1884-11-01;1884-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/272966
272967;1884, December;1884;December;1884-12-01;1884-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/272967
